,What country do you live in?,What country do you work in?
0,GBR,GBR
1,USA,USA
2,GBR,GBR
3,GBR,GBR
4,USA,USA
5,GBR,GBR
6,USA,USA
7,USA,USA
8,USA,USA
9,USA,USA
10,USA,USA
11,USA,USA
12,USA,USA
13,CAN,CAN
14,USA,USA
15,USA,USA
16,CAN,CAN
17,GBR,GBR
18,USA,USA
19,USA,USA
20,USA,USA
21,USA,USA
22,DEU,DEU
23,CAN,CAN
24,USA,USA
25,DEU,DEU
26,NLD,NLD
27,DEU,DEU
28,GBR,GBR
29,GBR,GBR
30,DEU,DEU
31,USA,USA
32,USA,USA
33,CZE,CZE
34,GBR,GBR
35,DEU,DEU
36,USA,USA
37,GBR,GBR
38,GBR,GBR
39,CAN,CAN
40,USA,USA
41,USA,USA
42,NLD,NLD
43,LTU,LTU
44,USA,USA
45,USA,USA
46,USA,USA
47,USA,USA
48,GBR,GBR
49,USA,USA
50,AUS,AUS
51,USA,USA
52,NLD,NLD
53,USA,USA
54,USA,USA
55,USA,USA
56,USA,USA
57,CAN,CAN
58,USA,USA
59,USA,USA
60,FRA,FRA
61,GBR,GBR
62,USA,USA
63,VEN,VEN
64,GBR,GBR
65,NLD,NLD
66,USA,USA
67,USA,USA
68,USA,USA
69,NLD,NLD
70,POL,POL
71,BEL,BEL
72,USA,USA
73,NLD,NLD
74,USA,USA
75,NLD,NLD
77,NLD,NLD
78,USA,USA
79,USA,USA
80,GBR,GBR
81,BRA,BRA
82,CAN,CAN
83,USA,USA
84,FRA,FRA
85,USA,USA
86,CAN,CAN
87,GBR,GBR
88,USA,USA
89,USA,USA
90,BRA,BRA
91,USA,USA
92,GBR,GBR
93,BRA,BRA
94,USA,USA
95,USA,USA
96,USA,USA
97,USA,USA
98,NLD,NLD
99,USA,USA
100,USA,USA
101,USA,USA
102,USA,USA
103,USA,USA
104,NLD,NLD
105,USA,USA
106,USA,USA
107,USA,USA
108,USA,USA
109,DNK,DNK
110,USA,USA
111,USA,USA
112,USA,USA
114,BEL,BEL
115,USA,USA
116,USA,USA
117,USA,USA
118,USA,USA
119,USA,USA
120,GBR,GBR
121,USA,USA
122,NLD,NLD
123,DEU,DEU
124,USA,USA
125,USA,USA
126,USA,USA
127,NLD,NLD
128,FRA,FRA
129,USA,USA
130,USA,USA
131,USA,USA
132,USA,USA
133,USA,USA
134,USA,USA
135,USA,USA
136,USA,USA
137,USA,USA
138,USA,USA
139,USA,USA
140,CAN,CAN
141,USA,USA
142,USA,USA
143,GBR,GBR
144,USA,USA
145,DEU,DEU
146,USA,USA
147,USA,USA
148,CAN,CAN
149,USA,USA
150,USA,USA
151,USA,USA
152,USA,USA
153,USA,USA
154,USA,USA
155,USA,USA
156,USA,USA
157,USA,USA
158,CAN,CAN
159,USA,USA
160,USA,USA
161,USA,USA
162,USA,USA
163,USA,USA
164,USA,USA
165,NLD,NLD
166,NLD,NLD
167,GBR,GBR
168,NLD,NLD
169,DEU,DEU
170,DEU,DEU
171,USA,USA
172,USA,USA
173,USA,USA
174,USA,USA
175,USA,USA
176,USA,USA
177,USA,USA
178,GBR,GBR
179,USA,USA
180,GBR,GBR
181,GBR,GBR
182,NLD,NLD
183,NLD,NLD
184,USA,USA
185,DNK,DNK
186,USA,USA
187,USA,USA
188,USA,USA
189,USA,USA
190,USA,USA
191,BEL,BEL
192,DEU,DEU
193,GBR,GBR
194,USA,USA
195,GBR,GBR
196,SWE,SWE
197,GBR,GBR
198,USA,USA
199,USA,USA
200,USA,USA
201,GBR,GBR
202,RUS,RUS
203,USA,USA
204,USA,USA
205,GBR,GBR
206,SWE,SWE
207,USA,USA
208,USA,USA
209,GBR,GBR
210,DEU,DEU
211,USA,USA
212,GBR,GBR
213,RUS,RUS
214,RUS,RUS
215,USA,USA
216,USA,USA
217,BEL,BEL
218,RUS,RUS
219,RUS,RUS
220,DNK,DNK
221,CAN,CAN
222,USA,USA
223,ESP,ESP
224,GBR,GBR
225,USA,USA
226,FRA,FRA
227,IND,IND
228,USA,USA
229,USA,USA
230,USA,USA
231,USA,USA
232,DEU,DEU
233,USA,USA
234,USA,USA
235,USA,USA
236,FRA,FRA
237,RUS,RUS
238,USA,USA
239,DEU,DEU
240,DEU,DEU
241,USA,USA
242,GBR,GBR
243,DEU,DEU
244,DEU,DEU
245,USA,USA
246,GBR,GBR
247,USA,USA
248,USA,USA
249,USA,USA
250,USA,ARE
251,CAN,CAN
252,USA,USA
253,USA,USA
254,USA,USA
255,MEX,MEX
256,USA,USA
257,USA,USA
258,USA,USA
259,USA,USA
260,USA,USA
261,USA,USA
262,CAN,CAN
263,USA,USA
264,USA,USA
265,GBR,GBR
266,USA,USA
267,USA,USA
268,GBR,GBR
269,USA,USA
270,DEU,DEU
271,USA,USA
272,USA,USA
273,USA,USA
274,GBR,GBR
275,USA,USA
276,USA,USA
277,USA,USA
278,USA,USA
279,USA,USA
280,USA,USA
281,USA,USA
282,USA,USA
283,DEU,DEU
284,AUS,AUS
285,USA,USA
286,USA,USA
287,USA,USA
288,USA,USA
289,DEU,DEU
290,NLD,NLD
291,GBR,GBR
292,GBR,GBR
293,GBR,GBR
294,USA,USA
295,GBR,GBR
296,GBR,GBR
297,AUS,AUS
298,CHE,CHE
299,GBR,GBR
300,GBR,GBR
301,GBR,GBR
302,GBR,GBR
303,AUS,AUS
304,AUS,AUS
305,ESP,USA
306,GBR,GBR
307,RUS,RUS
308,CAN,USA
309,AUS,AUS
310,GBR,GBR
311,GBR,GBR
312,GBR,GBR
313,USA,USA
314,NOR,NOR
315,USA,USA
316,USA,USA
317,USA,USA
318,USA,USA
319,USA,USA
320,CAN,CAN
321,CAN,CAN
322,CAN,CAN
323,CAN,CAN
324,CAN,CAN
325,CAN,CAN
326,CAN,CAN
327,ARG,ARG
328,IND,IND
329,USA,USA
330,NLD,NLD
331,USA,USA
332,CAN,CAN
333,GBR,GBR
334,GBR,USA
335,USA,USA
336,USA,USA
337,SWE,SWE
338,USA,USA
339,NLD,NLD
341,USA,USA
342,IRL,IRL
343,DEU,DEU
344,USA,USA
345,USA,USA
346,ITA,ITA
347,USA,USA
348,USA,USA
349,USA,USA
350,USA,USA
351,DEU,DEU
352,USA,USA
353,DNK,DNK
354,USA,USA
355,USA,USA
356,USA,USA
357,USA,USA
358,USA,USA
359,USA,USA
360,NLD,NLD
361,USA,USA
362,USA,USA
363,USA,USA
364,USA,USA
365,USA,USA
366,GBR,GBR
367,USA,USA
368,USA,USA
369,USA,USA
370,USA,USA
371,CAN,CAN
372,USA,USA
373,GBR,GBR
374,FIN,FIN
375,CAN,CAN
376,RUS,RUS
377,USA,USA
378,USA,USA
379,AUS,AUS
380,NLD,NLD
381,USA,USA
382,USA,USA
383,USA,USA
384,AUS,AUS
385,USA,USA
386,USA,TUR
387,USA,USA
388,USA,USA
389,USA,USA
390,USA,USA
391,USA,USA
392,USA,USA
393,USA,USA
394,USA,USA
395,NLD,NLD
396,GBR,GBR
397,NLD,NLD
398,USA,USA
399,USA,USA
400,USA,USA
401,USA,USA
402,GBR,GBR
403,USA,USA
404,USA,USA
405,COL,COL
406,USA,USA
407,USA,USA
408,USA,USA
409,USA,USA
410,USA,USA
411,USA,USA
412,GBR,GBR
413,CHE,CHE
414,NLD,NLD
415,NLD,NLD
416,DEU,DEU
417,GBR,GBR
418,NLD,NLD
419,COL,COL
420,DEU,DEU
421,USA,USA
422,USA,USA
423,USA,USA
424,USA,USA
425,USA,USA
426,USA,USA
427,CAN,USA
428,USA,USA
429,USA,USA
430,AUS,AUS
431,NLD,NLD
432,GBR,GBR
433,USA,USA
434,GBR,GBR
435,GBR,GBR
436,CZE,CZE
437,GBR,GBR
438,USA,USA
439,USA,USA
440,USA,USA
441,CAN,USA
442,USA,USA
443,USA,USA
444,CRI,CRI
445,USA,USA
446,USA,USA
447,USA,USA
448,USA,USA
449,GBR,GBR
451,USA,USA
452,USA,USA
453,USA,USA
454,USA,USA
455,VNM,VNM
456,USA,USA
457,USA,USA
458,USA,USA
459,USA,USA
460,USA,USA
461,CAN,CAN
462,USA,USA
463,USA,USA
464,USA,USA
465,USA,USA
466,USA,USA
467,USA,USA
468,NLD,GBR
469,USA,USA
470,USA,USA
471,USA,USA
472,USA,USA
473,USA,USA
474,USA,USA
475,USA,USA
476,USA,USA
477,USA,USA
478,FIN,FIN
479,BGR,BGR
480,USA,USA
481,USA,USA
482,USA,USA
483,USA,USA
484,USA,USA
485,USA,USA
486,IND,IND
487,DEU,DEU
488,IRL,IRL
489,USA,USA
490,USA,USA
491,USA,USA
492,USA,USA
493,USA,USA
494,USA,USA
495,USA,USA
496,USA,USA
497,CAN,CAN
498,AUS,AUS
499,AUS,AUS
500,USA,USA
501,NZL,NZL
502,USA,USA
503,USA,USA
504,CAN,CAN
505,USA,USA
506,USA,USA
507,USA,USA
508,USA,USA
509,USA,USA
510,USA,USA
512,USA,USA
513,USA,USA
514,USA,USA
515,GBR,GBR
516,LTU,GBR
517,FRA,FRA
518,CAN,CAN
519,USA,USA
520,USA,USA
521,AUS,AUS
522,USA,USA
523,DEU,DEU
524,GBR,GBR
525,GBR,GBR
526,GBR,GBR
527,USA,USA
528,CAN,CAN
529,USA,USA
530,ESP,ESP
531,GBR,GBR
532,USA,USA
533,USA,USA
534,AUS,AUS
535,BRA,BRA
536,USA,USA
537,USA,USA
538,CAN,CAN
539,DEU,DEU
540,CAN,CAN
541,USA,USA
542,GBR,GBR
543,SWE,SWE
544,NLD,NLD
545,ZAF,ZAF
547,GBR,GBR
548,USA,USA
549,USA,USA
550,USA,USA
551,USA,USA
552,USA,USA
553,USA,USA
554,USA,USA
555,USA,USA
556,USA,USA
557,GBR,GBR
558,USA,USA
559,USA,USA
560,ZAF,ZAF
561,USA,USA
562,USA,USA
564,USA,USA
565,SVK,SVK
566,GBR,GBR
567,DEU,DEU
568,GBR,GBR
569,USA,USA
570,USA,USA
571,USA,USA
572,USA,USA
573,USA,USA
574,USA,USA
575,AUT,AUT
576,USA,USA
577,USA,USA
578,USA,USA
579,GBR,GBR
580,USA,USA
581,DNK,DNK
582,USA,USA
583,AUS,AUS
584,USA,USA
585,USA,USA
586,AUS,AUS
587,AUS,AUS
588,USA,USA
589,BGD,BGD
590,IND,IND
591,USA,USA
592,USA,USA
593,USA,USA
594,USA,USA
595,USA,USA
596,USA,USA
597,DZA,USA
598,NOR,NOR
599,DEU,DEU
600,FIN,FIN
601,AUS,AUS
602,NLD,NLD
603,USA,USA
604,GBR,GBR
605,CAN,CAN
606,USA,USA
607,USA,USA
608,USA,USA
609,USA,USA
610,USA,USA
611,GBR,GBR
612,USA,USA
613,NLD,NLD
614,GBR,GBR
615,PAK,PAK
616,USA,USA
617,USA,USA
618,AUS,AUS
619,USA,USA
620,USA,USA
621,USA,USA
622,USA,USA
623,USA,USA
624,USA,USA
625,NOR,NOR
626,GBR,GBR
627,GBR,GBR
628,USA,USA
629,USA,USA
630,CHE,CHE
631,GBR,GBR
632,USA,USA
633,USA,USA
634,USA,USA
635,USA,USA
636,USA,USA
637,CAN,CAN
638,USA,USA
639,USA,USA
640,FRA,FRA
641,GBR,GBR
642,USA,USA
643,USA,USA
644,GBR,GBR
645,USA,USA
646,GBR,GBR
647,USA,USA
648,GBR,GBR
649,USA,USA
650,CAN,CAN
651,SWE,SWE
652,USA,USA
653,CAN,CAN
654,USA,USA
655,USA,USA
656,CAN,CAN
657,USA,USA
658,USA,USA
659,USA,USA
660,USA,USA
661,GBR,GBR
662,CAN,CAN
663,USA,USA
664,GBR,GBR
665,USA,USA
666,USA,USA
667,USA,USA
668,USA,USA
669,CAN,CAN
670,CAN,CAN
671,USA,USA
672,USA,USA
673,USA,USA
674,USA,USA
675,USA,USA
676,USA,USA
677,USA,USA
678,USA,USA
679,USA,USA
680,USA,USA
681,CAN,CAN
682,USA,USA
683,USA,USA
684,SWE,SWE
685,USA,USA
686,USA,USA
687,USA,USA
688,NLD,NLD
689,USA,USA
690,USA,USA
691,DEU,DEU
692,USA,USA
693,USA,USA
694,GBR,GBR
695,IRL,IRL
696,USA,USA
697,BRA,BRA
698,USA,USA
699,CAN,CAN
700,USA,USA
701,USA,USA
702,USA,USA
703,NLD,NLD
704,BRA,BRA
705,NZL,NZL
706,SWE,SWE
707,USA,USA
708,BGR,BGR
709,USA,USA
710,USA,USA
711,SWE,SWE
712,DEU,DEU
713,USA,USA
714,GBR,GBR
715,USA,USA
716,USA,USA
717,GBR,GBR
718,USA,USA
719,USA,USA
720,USA,USA
721,AFG,AFG
722,PAK,USA
723,GBR,GBR
724,USA,USA
725,USA,USA
726,USA,USA
727,GBR,GBR
728,NLD,NLD
729,USA,USA
730,CAN,CAN
731,GBR,GBR
732,USA,USA
733,USA,USA
734,USA,USA
735,USA,USA
736,USA,USA
737,SWE,SWE
738,GBR,GBR
740,CAN,CAN
741,USA,USA
742,USA,USA
743,USA,USA
744,USA,USA
745,USA,USA
746,AUS,AUS
747,GRC,GRC
748,GBR,GBR
749,USA,USA
750,GBR,GBR
751,IRL,IRL
752,USA,USA
753,USA,USA
754,IND,IND
755,USA,USA
756,USA,USA
757,AUS,AUS
758,USA,USA
759,GBR,GBR
760,USA,USA
761,USA,USA
762,CAN,CAN
763,USA,USA
764,GBR,GBR
765,USA,USA
766,CAN,CAN
767,NZL,NZL
768,USA,USA
769,USA,USA
770,USA,USA
771,USA,USA
772,USA,USA
773,GBR,GBR
774,USA,USA
775,CAN,CAN
776,USA,USA
777,USA,USA
778,USA,USA
779,USA,USA
780,USA,USA
781,USA,USA
782,USA,USA
783,USA,USA
784,AUS,Other
785,USA,USA
786,USA,USA
787,USA,USA
788,USA,USA
789,GBR,GBR
790,USA,USA
791,USA,USA
792,CAN,CAN
793,USA,USA
794,USA,USA
795,USA,USA
796,AUS,AUS
798,USA,USA
799,USA,USA
800,USA,USA
801,USA,USA
802,NZL,NZL
803,AUS,AUS
804,USA,USA
805,USA,USA
806,AUS,AUS
807,USA,USA
809,USA,USA
810,CAN,CAN
812,IND,IND
813,DEU,DEU
814,GBR,GBR
815,GBR,GBR
816,GBR,GBR
817,USA,USA
818,GBR,GBR
819,NZL,NZL
820,Other,DEU
821,GBR,GBR
822,GBR,GBR
824,GBR,GBR
825,USA,USA
826,USA,USA
827,USA,USA
828,GBR,GBR
829,USA,USA
830,FRA,FRA
831,USA,USA
832,USA,USA
833,USA,USA
834,ROU,USA
835,USA,USA
836,USA,USA
837,USA,USA
838,USA,USA
839,USA,USA
840,GBR,GBR
841,POL,POL
842,USA,USA
843,USA,USA
844,USA,USA
845,GBR,GBR
846,USA,USA
847,BGR,BGR
848,USA,USA
849,USA,USA
850,USA,USA
851,CAN,CAN
852,USA,USA
853,CAN,CAN
854,USA,USA
855,USA,USA
856,USA,USA
857,CAN,CAN
858,CAN,CAN
859,USA,USA
860,CAN,CAN
861,USA,USA
862,USA,USA
863,USA,USA
864,USA,USA
865,USA,USA
866,USA,USA
867,USA,USA
868,USA,USA
869,GBR,GBR
870,USA,USA
871,USA,USA
872,USA,USA
873,USA,USA
874,USA,USA
875,DEU,DEU
876,USA,USA
878,USA,USA
880,Other,Other
881,USA,USA
882,USA,USA
883,USA,USA
884,FRA,FRA
885,USA,USA
886,USA,USA
888,USA,USA
889,USA,USA
890,USA,USA
891,JPN,CAN
892,CAN,CAN
893,IRN,IRN
894,SWE,SWE
895,CHE,CHE
896,CHE,CHE
897,GBR,GBR
898,USA,USA
899,USA,USA
900,USA,USA
901,USA,USA
902,AUT,AUT
903,IRL,IRL
904,USA,USA
905,USA,USA
906,ZAF,ZAF
907,USA,USA
908,DEU,DEU
909,GBR,GBR
910,USA,USA
911,USA,USA
912,USA,USA
913,CAN,CAN
914,USA,USA
915,AUS,AUS
916,USA,USA
917,IND,IND
918,FRA,GBR
919,FRA,FRA
921,GBR,GBR
922,GBR,GBR
923,FRA,FRA
924,GBR,GBR
925,GBR,GBR
926,DEU,DEU
927,GBR,GBR
928,USA,USA
929,DEU,DEU
930,USA,USA
931,DEU,DEU
932,USA,USA
933,USA,USA
934,GBR,GBR
935,USA,USA
936,ITA,ITA
937,BGR,BGR
938,USA,USA
939,GBR,GBR
940,CHE,CHE
941,USA,USA
942,GBR,GBR
943,USA,USA
944,USA,USA
945,HUN,HUN
947,FRA,FRA
948,USA,USA
949,USA,USA
950,USA,USA
951,USA,USA
952,USA,USA
953,USA,USA
954,USA,USA
955,ISR,ISR
956,JPN,JPN
957,IND,IND
958,USA,USA
959,USA,USA
960,USA,USA
961,USA,USA
962,USA,USA
963,USA,USA
964,USA,USA
965,USA,USA
966,USA,USA
967,USA,USA
968,USA,USA
969,GBR,GBR
970,USA,USA
971,IRL,IRL
972,GBR,GBR
973,USA,USA
974,GBR,GBR
975,USA,USA
976,GBR,GBR
977,USA,USA
978,USA,USA
979,USA,USA
980,USA,USA
981,USA,USA
982,USA,USA
983,USA,USA
984,USA,USA
985,USA,USA
986,USA,USA
987,BGR,BGR
988,CHE,CHE
989,USA,USA
990,USA,USA
991,USA,USA
992,USA,USA
993,USA,USA
994,USA,USA
995,USA,USA
996,USA,USA
997,USA,USA
998,BRA,BRA
999,NLD,NLD
1000,DEU,DEU
1001,USA,USA
1002,USA,USA
1003,SWE,SWE
1004,USA,USA
1005,GBR,GBR
1006,USA,USA
1007,USA,USA
1008,SWE,SWE
1009,USA,USA
1010,USA,USA
1011,DEU,DEU
1012,GBR,GBR
1013,USA,USA
1014,USA,USA
1015,SWE,SWE
1016,USA,USA
1017,GBR,GBR
1018,GBR,GBR
1019,USA,USA
1020,USA,USA
1021,USA,USA
1022,SWE,SWE
1023,NLD,NLD
1024,USA,USA
1025,RUS,RUS
1026,GBR,GBR
1027,CAN,USA
1028,GBR,GBR
1029,GBR,GBR
1030,GBR,GBR
1031,GBR,GBR
1032,USA,USA
1033,IRL,IRL
1034,NZL,NZL
1035,USA,USA
1036,AUS,AUS
1037,USA,USA
1038,NZL,NZL
1039,USA,USA
1040,USA,USA
1041,AUS,AUS
1042,ECU,ECU
1043,ZAF,ZAF
1044,USA,USA
1045,SWE,SWE
1046,GBR,GBR
1047,AUS,AUS
1048,GBR,GBR
1049,USA,USA
1050,ITA,ITA
1051,DEU,DEU
1052,GBR,GBR
1053,AUS,AUS
1054,NLD,NLD
1055,AUS,AUS
1056,USA,USA
1057,AUS,AUS
1058,CAN,CAN
1059,USA,USA
1060,DEU,DEU
1061,GBR,GBR
1062,CHE,CHE
1063,DEU,DEU
1064,USA,USA
1065,AUS,AUS
1066,USA,USA
1067,USA,USA
1068,AUS,AUS
1069,BGR,BGR
1070,CAN,CAN
1071,USA,USA
1072,USA,USA
1073,USA,USA
1074,FRA,GBR
1075,NZL,NZL
1076,NLD,NLD
1077,CHE,CHE
1078,USA,USA
1079,AUS,AUS
1080,USA,USA
1081,BRA,BRA
1082,USA,USA
1083,BGR,BGR
1084,ROU,ROU
1085,USA,USA
1086,USA,USA
1087,USA,USA
1088,USA,USA
1089,USA,USA
1090,USA,USA
1091,USA,USA
1092,USA,USA
1093,USA,USA
1094,AUS,AUS
1095,GBR,GBR
1096,GBR,GBR
1097,GBR,GBR
1098,DEU,GBR
1099,SWE,SWE
1100,USA,USA
1101,GBR,GBR
1102,USA,USA
1103,USA,USA
1104,USA,USA
1105,CAN,CAN
1106,CAN,CAN
1107,USA,USA
1108,CAN,CAN
1109,USA,USA
1110,BIH,BIH
1111,GBR,GBR
1112,DEU,DEU
1113,USA,USA
1114,USA,USA
1115,NLD,NLD
1116,SWE,SWE
1117,USA,USA
1118,NLD,NLD
1119,USA,USA
1120,BIH,BIH
1121,USA,USA
1122,USA,USA
1123,USA,USA
1124,USA,USA
1125,USA,USA
1126,USA,USA
1127,USA,USA
1128,USA,USA
1129,USA,USA
1130,FIN,FIN
1131,USA,USA
1132,USA,USA
1133,USA,USA
1134,USA,USA
1135,USA,USA
1136,USA,USA
1137,USA,USA
1138,IRL,IRL
1139,USA,USA
1140,USA,USA
1141,AUT,AUT
1142,USA,USA
1143,USA,USA
1144,USA,USA
1145,USA,USA
1146,USA,USA
1147,USA,USA
1148,USA,USA
1149,USA,USA
1150,USA,USA
1151,USA,USA
1152,USA,USA
1153,USA,USA
1154,USA,USA
1155,USA,USA
1156,USA,USA
1157,USA,USA
1158,USA,USA
1159,USA,USA
1160,USA,USA
1161,USA,USA
1162,USA,USA
1163,BRA,BRA
1164,NZL,NZL
1165,USA,USA
1166,USA,USA
1167,USA,USA
1168,IRL,IRL
1169,USA,USA
1170,USA,USA
1171,GBR,GBR
1173,USA,USA
1174,SWE,SWE
1175,USA,USA
1176,FIN,FIN
1177,DEU,DEU
1178,USA,USA
1179,ITA,USA
1180,USA,USA
1181,USA,USA
1182,USA,USA
1183,DEU,DEU
1184,NLD,NLD
1185,USA,USA
1186,USA,USA
1187,USA,USA
1188,ITA,SWE
1189,USA,USA
1190,CAN,CAN
1191,USA,USA
1192,USA,USA
1193,USA,USA
1194,USA,USA
1195,USA,USA
1196,USA,USA
1197,IRL,IRL
1198,USA,USA
1199,USA,USA
1200,USA,USA
1201,GBR,GBR
1202,USA,USA
1203,FIN,FIN
1204,USA,USA
1205,USA,USA
1206,USA,USA
1207,USA,USA
1208,USA,USA
1209,GBR,GBR
1210,GBR,GBR
1211,USA,USA
1212,GBR,GBR
1213,USA,USA
1214,CAN,CAN
1215,USA,USA
1216,USA,USA
1217,CHN,CHN
1218,USA,USA
1219,USA,USA
1220,GBR,GBR
1221,USA,USA
1222,DEU,DEU
1223,GBR,GBR
1224,USA,USA
1225,USA,USA
1226,USA,USA
1227,USA,USA
1228,USA,USA
1229,GBR,GBR
1230,IRL,IRL
1231,USA,USA
1232,USA,USA
1233,USA,USA
1234,USA,USA
1235,USA,USA
1236,USA,USA
1237,USA,USA
1238,USA,USA
1239,CHE,CHE
1240,GBR,GBR
1241,USA,USA
1242,GBR,GBR
1243,ISR,ISR
1244,DEU,DEU
1245,USA,USA
1246,GBR,GBR
1247,USA,USA
1248,USA,USA
1249,CAN,CAN
1250,USA,USA
1251,NLD,NLD
1252,USA,USA
1253,DNK,DNK
1255,GBR,GBR
1256,USA,USA
1257,NLD,NLD
1258,DEU,DEU
1259,GBR,GBR
1260,MEX,MEX
1261,SWE,SWE
1262,USA,USA
1263,USA,USA
1264,USA,USA
1265,USA,USA
1266,USA,USA
1267,ROU,ROU
1268,USA,USA
1269,USA,USA
1270,USA,USA
1271,USA,USA
1272,GBR,GBR
1273,USA,USA
1274,USA,USA
1275,GBR,GBR
1276,GBR,GBR
1277,NLD,NLD
1278,DNK,DNK
1279,GBR,GBR
1280,GBR,GBR
1281,CAN,CAN
1282,USA,USA
1283,CAN,CAN
1284,USA,USA
1285,USA,USA
1286,USA,USA
1287,DEU,DEU
1288,GBR,GBR
1289,USA,USA
1290,USA,USA
1291,USA,USA
1292,CAN,CAN
1293,USA,USA
1294,USA,USA
1295,USA,USA
1296,ESP,ESP
1297,DEU,DEU
1298,USA,USA
1299,AUT,AUT
1300,NLD,NLD
1302,USA,USA
1303,USA,USA
1304,GBR,GBR
1305,USA,USA
1306,USA,USA
1307,USA,USA
1308,USA,USA
1309,DEU,DEU
1310,USA,USA
1311,USA,USA
1312,USA,USA
1313,USA,USA
1314,USA,USA
1315,USA,USA
1316,USA,USA
1317,USA,USA
1318,USA,USA
1319,USA,USA
1320,USA,USA
1321,USA,USA
1322,USA,USA
1323,USA,USA
1324,DEU,DEU
1325,USA,USA
1326,USA,USA
1327,USA,USA
1328,GBR,GBR
1329,IRL,IRL
1330,USA,USA
1331,USA,USA
1332,FIN,FIN
1333,USA,USA
1334,GBR,GBR
1335,GBR,GBR
1336,GBR,GBR
1337,GBR,GBR
1338,GBR,GBR
1339,GBR,GBR
1340,CHL,CHL
1341,USA,USA
1342,CHL,CHL
1343,GBR,GBR
1344,CHL,CHL
1345,USA,USA
1346,USA,USA
1347,GTM,GTM
1348,GBR,GBR
1349,USA,USA
1350,USA,USA
1351,USA,USA
1352,USA,USA
1353,GBR,GBR
1354,USA,USA
1355,PAK,PAK
1356,GBR,GBR
1357,USA,USA
1358,USA,USA
1359,USA,USA
1360,DEU,DEU
1361,USA,USA
1362,USA,USA
1363,USA,USA
1364,USA,USA
1365,TWN,USA
1366,USA,USA
1367,USA,USA
1368,USA,USA
1369,SRB,SRB
1370,USA,USA
1371,USA,USA
1372,USA,USA
1373,USA,USA
1374,USA,USA
1375,USA,USA
1376,USA,USA
1377,FRA,FRA
1378,IRL,IRL
1379,USA,USA
1380,USA,USA
1381,USA,USA
1382,USA,USA
1383,EST,EST
1384,USA,USA
1385,USA,USA
1386,USA,USA
1387,USA,USA
1388,USA,USA
1389,CAN,CAN
1390,GBR,GBR
1391,USA,USA
1392,USA,USA
1393,USA,USA
1394,GBR,GBR
1395,USA,USA
1396,BRA,BRA
1397,USA,USA
1398,USA,USA
1399,USA,USA
1400,USA,USA
1401,USA,USA
1402,USA,USA
1403,IND,IND
1404,CAN,CAN
1405,POL,POL
1406,IRL,IRL
1407,AFG,USA
1408,DEU,DEU
1409,GBR,GBR
1410,BEL,BEL
1411,USA,USA
1412,USA,USA
1413,USA,USA
1414,USA,USA
1415,USA,USA
1416,USA,USA
1417,NLD,NLD
1418,GBR,GBR
1419,USA,USA
1420,GBR,GBR
1421,EST,EST
1422,CAN,USA
1423,CAN,CAN
1424,CAN,CAN
1425,CAN,CAN
1426,CAN,CAN
1427,USA,USA
1428,USA,USA
1429,USA,AFG
1430,USA,USA
1431,USA,USA
1432,CAN,CAN
